"","de","a","ciudad","tipo"
"85",2019-02-27 20:06:00,2019-02-27 20:27:00,"Europe/Madrid","Walking"
"86",2019-02-28 15:01:00,2019-02-28 15:11:00,"Europe/Madrid","Walking"
"87",2019-02-28 17:08:00,2019-02-28 17:22:00,"Europe/Madrid","Walking"
"88",2019-02-28 18:16:00,2019-02-28 18:31:00,"Europe/Madrid","Walking"
"89",2019-03-01 07:19:00,2019-03-01 07:27:00,"Europe/Madrid","Walking"
"90",2019-03-01 07:28:00,2019-03-01 07:33:00,"Europe/Madrid","Running"
"91",2019-03-01 07:34:00,2019-03-01 07:38:00,"Europe/Madrid","Walking"
"92",2019-03-01 11:59:00,2019-03-01 12:09:00,"Europe/Madrid","Walking"
"93",2019-03-01 13:47:00,2019-03-01 14:00:00,"Europe/Madrid","Walking"
"94",2019-03-01 19:01:00,2019-03-01 19:55:00,"Europe/Madrid","Walking"
"95",2019-03-02 08:15:00,2019-03-02 09:15:00,"Europe/Madrid","Pilates"
"96",2019-03-02 09:24:00,2019-03-02 09:30:00,"Europe/Madrid","Walking"
"97",2019-03-02 11:14:00,2019-03-02 11:37:00,"Europe/Madrid","Walking"
"98",2019-03-02 11:54:00,2019-03-02 12:15:00,"Europe/Madrid","Walking"
"99",2019-03-02 17:44:00,2019-03-02 17:54:00,"Europe/Madrid","Walking"
"100",2019-03-04 12:50:00,2019-03-04 13:02:00,"Europe/Madrid","Walking"
"101",2019-03-04 13:32:00,2019-03-04 13:45:00,"Europe/Madrid","Walking"
"102",2019-03-06 17:14:00,2019-03-06 17:26:00,"Europe/Madrid","Walking"
"103",2019-03-06 20:11:00,2019-03-06 20:25:00,"Europe/Madrid","Walking"
"104",2019-03-08 18:14:00,2019-03-08 18:32:00,"Europe/Madrid","Walking"
"105",2019-03-08 19:22:00,2019-03-08 19:38:00,"Europe/Madrid","Walking"
"106",2019-03-09 13:30:00,2019-03-09 16:50:00,"Europe/Madrid","Hiking"
"107",2019-03-11 20:04:00,2019-03-11 20:22:00,"Europe/Madrid","Walking"
"108",2019-03-12 13:09:00,2019-03-12 13:14:00,"Europe/Madrid","Walking"
"109",2019-03-13 13:45:00,2019-03-13 13:51:00,"Europe/Madrid","Walking"
"110",2019-03-14 07:51:01,2019-03-14 07:55:00,"Europe/Madrid","Walking"
"111",2019-03-14 13:44:00,2019-03-14 13:48:00,"Europe/Madrid","Walking"
"112",2019-03-14 13:44:00,2019-03-14 13:49:00,"Europe/Madrid","Walking"
"113",2019-03-14 13:44:00,2019-03-14 13:50:00,"Europe/Madrid","Walking"
"114",2019-03-16 09:39:00,2019-03-16 09:47:00,"Europe/Madrid","Walking"
"115",2019-03-17 08:06:00,2019-03-17 08:11:00,"Europe/Madrid","Running"
"116",2019-03-18 17:29:00,2019-03-18 17:46:00,"Europe/Madrid","Walking"
"117",2019-03-18 19:59:00,2019-03-18 20:09:00,"Europe/Madrid","Walking"
"118",2019-03-18 20:10:00,2019-03-18 20:15:00,"Europe/Madrid","Running"
"119",2019-03-19 07:15:00,2019-03-19 08:15:00,"Europe/Amsterdam","Pilates"
"120",2019-03-19 08:21:00,2019-03-19 08:25:00,"Europe/Madrid","Running"
"121",2019-03-19 08:26:00,2019-03-19 08:30:00,"Europe/Madrid","Walking"
"122",2019-03-20 17:55:00,2019-03-20 18:09:00,"Europe/Amsterdam","Walking"
"123",2019-03-20 20:03:00,2019-03-20 20:25:00,"Europe/Amsterdam","Walking"
"124",2019-03-21 06:45:00,2019-03-21 07:45:00,"Europe/Amsterdam","Pilates"
"125",2019-03-21 19:57:00,2019-03-21 20:08:00,"Europe/Amsterdam","Walking"
"126",2019-03-22 07:22:00,2019-03-22 07:41:00,"Europe/Amsterdam","Running"
"127",2019-03-23 08:23:00,2019-03-23 08:34:00,"Europe/Amsterdam","Running"
"128",2019-03-23 08:35:00,2019-03-23 08:57:00,"Europe/Amsterdam","Walking"
"129",2019-03-25 17:40:00,2019-03-25 17:48:00,"Europe/Madrid","Walking"
"130",2019-03-25 20:08:00,2019-03-25 20:21:00,"Europe/Madrid","Walking"
"131",2019-03-26 07:04:00,2019-03-26 07:07:00,"Europe/Madrid","Running"
"132",2019-03-26 07:08:00,2019-03-26 07:12:00,"Europe/Madrid","Walking"
"133",2019-03-26 17:28:00,2019-03-26 17:34:00,"Europe/Madrid","Walking"
"134",2019-03-26 17:40:00,2019-03-26 17:48:00,"Europe/Madrid","Walking"
"135",2019-03-26 18:00:00,2019-03-26 19:00:00,"Europe/Madrid","Tennis"
"136",2019-03-26 18:06:00,2019-03-26 19:06:00,"Europe/Madrid","Other"
"137",2019-03-27 19:37:00,2019-03-27 20:05:00,"Europe/Madrid","Walking"
"138",2019-03-28 16:28:00,2019-03-28 16:33:00,"Europe/Madrid","Walking"
"139",2019-03-29 08:04:00,2019-03-29 08:21:00,"Europe/Madrid","Walking"
"140",2019-03-29 19:04:00,2019-03-29 19:55:00,"Europe/Madrid","Tennis"
"141",2019-03-30 08:15:00,2019-03-30 09:15:00,"Europe/Madrid","Pilates"
"142",2019-03-30 09:25:00,2019-03-30 09:44:00,"Europe/Madrid","Running"
"143",2019-03-30 09:25:00,2019-03-30 09:45:00,"Europe/Madrid","Running"
"144",2019-03-30 17:41:00,2019-03-30 18:14:00,"Europe/Madrid","Walking"
"145",2019-03-30 19:34:00,2019-03-30 20:00:00,"Europe/Madrid","Walking"
"146",2019-03-31 17:00:00,2019-03-31 18:00:00,"Europe/Madrid","Tennis"
"147",2019-03-31 19:40:00,2019-03-31 19:50:00,"Europe/Madrid","Other"
"148",2019-04-01 16:44:00,2019-04-01 17:05:00,"Europe/Madrid","Walking"
"149",2019-04-01 19:02:00,2019-04-01 19:19:00,"Europe/Madrid","Walking"
"150",2019-04-02 06:39:00,2019-04-02 06:51:00,"Europe/Madrid","Walking"
"151",2019-04-02 12:06:00,2019-04-02 12:19:00,"Europe/Madrid","Walking"
"152",2019-04-02 17:26:00,2019-04-02 17:36:00,"Europe/Madrid","Walking"
"153",2019-04-02 18:19:00,2019-04-02 18:41:00,"Europe/Madrid","Walking"
"154",2019-04-03 16:14:00,2019-04-03 16:29:00,"Europe/Madrid","Walking"
"155",2019-04-03 19:08:00,2019-04-03 19:21:00,"Europe/Madrid","Walking"
"156",2019-04-05 06:06:00,2019-04-05 06:25:00,"Europe/Amsterdam","Running"
"157",2019-04-05 06:26:00,2019-04-05 06:41:00,"Europe/Amsterdam","Walking"
"158",2019-04-05 06:49:00,2019-04-05 06:56:00,"Europe/Amsterdam","Running"
"159",2019-04-06 08:54:00,2019-04-06 09:06:00,"Europe/Amsterdam","Walking"
"160",2019-04-06 18:00:00,2019-04-06 18:20:00,"Europe/Amsterdam","Cycling"
"161",2019-04-06 20:58:00,2019-04-06 21:30:00,"Europe/Amsterdam","Dancing"
"162",2019-04-07 01:00:00,2019-04-07 01:20:00,"Europe/Amsterdam","Cycling"
"163",2019-04-10 16:35:00,2019-04-10 16:51:00,"Europe/Madrid","Walking"
"164",2019-04-10 19:08:00,2019-04-10 19:27:00,"Europe/Madrid","Walking"
"165",2019-04-11 13:02:00,2019-04-11 13:15:00,"Europe/Madrid","Walking"
"166",2019-04-11 15:35:00,2019-04-11 16:01:00,"Europe/Madrid","Walking"
"167",2019-04-12 10:32:00,2019-04-12 10:36:00,"Europe/Madrid","Running"
"168",2019-04-13 12:20:00,2019-04-13 12:31:00,"Europe/Madrid","Walking"
"169",2019-04-13 13:38:00,2019-04-13 13:56:00,"Europe/Madrid","Walking"
"170",2019-04-13 17:40:00,2019-04-13 18:02:00,"Europe/Madrid","Walking"
"171",2019-04-14 18:44:00,2019-04-14 18:50:00,"Europe/Madrid","Walking"
"172",2019-04-18 07:34:00,2019-04-18 07:48:00,"Europe/Amsterdam","Running"
